StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1,Q2,Q3,Q4,Q7,Q8,Q19,Q19_6_TEXT,Q19_7_TEXT,Q19_4_TEXT,Q19_5_TEXT,Q17_iphone,Q17_ipad,Q17_android_phone,Q17_android_tablet,Q17_win_phone,Q17_ms_surface,Q17_other_touchscreen,Q17_palm_pda_phone,Q17_other,Q17_other_TEXT,Q9,Q10,Q11,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_7_TEXT,Q21_1,Q21_2,Q21_5,Q21_3,Q21_4,Q21_6,Q21_6_TEXT,Q14,Q15,Q23,Q24,Q16,Q_TotalDuration,Q19_7_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,participant_num,Gender,edu_level,age,app_use,computer_user_skill,robot_interaction - Selected Choice,"robot_interaction - Robots or robotic characters in video games. If so, which games: - Text","robot_interaction - Use of commercial robots, including toys. If so, which ones: - Text","robot_interaction - Interaction with physical robots in person. If so, please explain: - Text","robot_interaction - Construction or programming of physical robots. If so, please explain: - Text",rate_devices - Apple iPhone,rate_devices - Apple iPad,rate_devices - Android Touchscreen Phone,rate_devices - Android Tablet,rate_devices - Windows Phone,rate_devices - Microsoft Surface,rate_devices - Other Touchscreen computer,rate_devices - Palm PDA or Phone,rate_devices - Other,rate_devices - Other - Text,video_games,video_game_hrs,what_video_games,Please indicate which platforms you have used for gaming - Mobile Phone,Please indicate which platforms you have used for gaming - Tablet,Please indicate which platforms you have used for gaming - Microsoft Xbox,Please indicate which platforms you have used for gaming - Desktop PC or Laptop,Please indicate which platforms you have used for gaming - Sony Playstation,Please indicate which platforms you have used for gaming - Nintendo Wii,Please indicate which platforms you have used for gaming - Other,Please indicate which platforms you have used for gaming - Other - Text,Please indicate which controller types you have used - Touchscreen,Please indicate which controller types you have used - Keyboard and Mouse,"Please indicate which controller types you have used - Dual-joystick gamepad (Xbox, Playstation, or similar)",Please indicate which controller types you have used - Wiimote or similar motion-sensing controller,Please indicate which controller types you have used - Kinect or similar full-body pose sensing controller,Please indicate which controller types you have used - Other,Please indicate which controller types you have used - Other - Text,operate_robots,describe_operation,operated_group,describe_group_operation,confidence_operate,Q_TotalDuration,Q19_7_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_6_TEXT""}","{""ImportId"":""QID19_7_TEXT""}","{""ImportId"":""QID19_4_TEXT""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_9_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_7""}","{""ImportId"":""QID21_7_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_6_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""QID19_7_TEXT_f709f1001fa44f4ea1d4edd1Topic0""}"
2017-10-16 08:34:21,2017-10-16 11:23:05,IP Address,129.63.17.4,100,10123,True,2017-10-16 11:23:05,R_28CX3L9BYg6IcnK,,,,,42.652297973633,-71.350601196289,anonymous,1,male,some_college,19,"Microsoft Office, Matlab, Solidworks, Cura",moderate,"fic_media,non_fic_media,video_game_gots",Titanfall,,,,familiar,moderate,moderate,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,familiar,complete_unfamiliar,complete_unfamiliar,,Yes,5,Titanfall and Destiny,Rarely Used,Never Used,Frequently Used,Never Used,Frequently Used,Rarely Used,Never Used,,Never Used,Never Used,Frequently Used,Rarely Used,Never Used,Never Used,,No,,,,neutral,10123,
2017-10-16 12:56:59,2017-10-16 13:30:23,IP Address,129.63.17.4,100,2003,True,2017-10-16 13:30:23,R_28AoKosw36JiyYV,,,,,42.652297973633,-71.350601196289,anonymous,2,male,batchelor,22,"General Internet (Chrome)
MATLAB
",expert,"fic_media,non_fic_media,video_game_gots,commercial_bots,real_bots,made_bots","Starcraft 2 (certain units are distinctly robotic)
Starwars Battlefront
Robo(arena?) game from Gamecube","Roomba
Beebot
Hexbugs
Sphero
Ozobots
Lego Mindstorms (NXT, EV3)
Lego Bionicles
Drones","Remote-controlled drones
","""Programmable"" Ozobots (follow a line)
Lego Mindstorms--programming with the included software and also with LabView
Additionally, building various Lego Mindstorms bots--mostly wheeled units with various attachments",familiar,moderate,rarely,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,,Yes,0,"League of Legends
Starcraft II
Runescape
Super Smash Bros
Halo 5
Minecraft
Mario Kart 8
Kirby Air Ride
Call of Duty: Black Ops Zombies
Kingdom Rush",Rarely Used,Never Used,Frequently Used,Used Daily,Rarely Used,Moderately Used,Never Used,,Rarely Used,Used Daily,Used Daily,Moderately Used,Rarely Used,Rarely Used,Guitar Hero Guitar,Yes,"Operating a Sphero:
Used an iPad to control. Controls were toggle-able between gyroscopic and touch-based. Gyroscopic is fairly self-explanatory: the further you tilt the screen to one side, the faster the robot rolls in that direction. Touch based controls have two inputs: a power meter and a round portrait of the ball on screen. By tapping on any edge of the portrait, you alter the direction that the robot will roll. The robot is engineered to roll in the same coordinate plane as your screen, which means that the controls do NOT function like a steering wheel, where movement is from the perspective of the Sphero.

Besides these directional controls, there were additional buttons on the side that made the robot ""hop"" or ""turbo boost,"" essentially temporarily overriding the nature of its motion to produce a specific effect.",No,,somewhat_not,2003,
2017-10-17 10:38:30,2017-10-17 11:23:58,IP Address,129.63.17.4,100,2727,True,2017-10-17 11:23:58,R_1hzLO1Ev8gVm0Em,,,,,42.652297973633,-71.350601196289,anonymous,3,male,associate,23,"Microsoft Office suite, Autodesk Inventor and other cad programs, Programming suites such as Arduino or other IDE's, the Linux operating system along with its features such as the command line, 3d printing software that creates gcode from sliced stl models, RTS videos games like Supreme Commander 2",guru,"fic_media,non_fic_media,video_game_gots,commercial_bots,real_bots,made_bots,academic",Supreme Commander 2,"BB-8 Sphero, rc planes, rc cars","NASA's Valkyrie robot, 3d printers that I have built, robots that are in the lab that I work in ","I build 3d printers, print parts for robots such as NASA's Valkyrie robot, and am currently building my own robots",moderate,moderate,familiar,frequent,complete_unfamiliar,rarely,rarely,frequent,complete_unfamiliar,,Yes,8 or so,"Pokemon Yellow, MegaMan Zero, Pokemon Pinball, Doom, Doom 2, Doom 2016, Supreme Commander 2, Counter Strike: Global Offensive, ",Moderately Used,Rarely Used,Moderately Used,Used Daily,Never Used,Never Used,Never Used,,Moderately Used,Used Daily,Moderately Used,Moderately Used,Rarely Used,Never Used,,Yes,"I have operated the Nao robot, NASA's Valkyrie robot with help, and 3d printers. Operation of a robot is either send code to be run to the powered robot or sending a command to a powered robot that is then executed.",No,,very,2727,
2017-10-17 12:58:49,2017-10-17 13:25:26,IP Address,129.63.17.4,100,1597,True,2017-10-17 13:25:27,R_2WVCMsHEWJEaoxQ,,,,,42.652297973633,-71.350601196289,anonymous,4,female,batchelor,22,"Microsoft Word/Excel/Powerpoint
Image Lab 
Photoshop/Procreate
Snapchat
Facebook",moderate,fic_media,,,,,familiar,familiar,rarely,complete_unfamiliar,complete_unfamiliar,rarely,frequent,complete_unfamiliar,complete_unfamiliar,,Yes,20,"Seige
",Moderately Used,Rarely Used,Never Used,Moderately Used,Used Daily,Moderately Used,Never Used,,Moderately Used,Moderately Used,Used Daily,Rarely Used,Rarely Used,Never Used,,Yes,"Lego Robot Competitions 
Block Party ",No,,neutral,1597,
2017-10-18 07:07:38,2017-10-18 07:13:14,IP Address,129.63.17.4,100,335,True,2017-10-18 07:13:14,R_10IR8AgXXMhi0Og,,,,,42.652297973633,-71.350601196289,anonymous,5,female,some_college,19,"Chrome, google drive, hp eprint",moderate,"fic_media,commercial_bots",,"Robotic pets ",,,moderate,complete_unfamiliar,familiar,familiar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,complete_unfamiliar,,Yes,3,Mario kart,Moderately Used,Moderately Used,Rarely Used,Moderately Used,Never Used,Moderately Used,Never Used,,Frequently Used,Moderately Used,Moderately Used,Never Used,Never Used,Never Used,,Yes,"I used the toy pet robots ",No,,neutral,335,
2017-10-18 08:49:25,2017-10-18 08:57:21,IP Address,129.63.17.4,100,475,True,2017-10-18 08:57:21,R_DSImkfkH0M3OW5j,,,,,42.652297973633,-71.350601196289,anonymous,6,male,master,28,"Safarai, Chrome, PyCharm, Terminal, an Email client, PDF Reader",expert,"fic_media,video_game_gots,chatbots,real_bots,made_bots","I dont' remember the name of the games, but there were few",,On conferences or some events,"I used to to robotics, but there were not user interface - I just program them and they do these actions. They intelligence was really limited.",rarely,complete_unfamiliar,familiar,rarely,moderate,frequent,rarely,complete_unfamiliar,rarely,Some big touch screen panels,Yes,0,Hill Climb 2,Moderately Used,Rarely Used,Rarely Used,Rarely Used,Rarely Used,Rarely Used,Never Used,,Moderately Used,Moderately Used,Rarely Used,Rarely Used,Rarely Used,Never Used,,Yes,"Just execution of commands (button on a touch screen - ""forward"", ""back"", ""turn left"", etc)",No,,somewhat,475,
2017-10-19 06:57:44,2017-10-19 07:25:11,IP Address,129.63.17.4,100,1647,True,2017-10-19 07:25:11,R_3iLkFrt8aoRv2vU,,,,,42.652297973633,-71.350601196289,anonymous,7,female,some_college,20,"Interactive touch interfaces of say ipads and mobile phones. ",expert,"fic_media,non_fic_media,chatbots,made_bots",,,,I was in the robotic lab in middle school,moderate,frequent,familiar,rarely,complete_unfamiliar,rarely,rarely,complete_unfamiliar,complete_unfamiliar,"Drawing pads, will U, etc",Yes,0,Didn't have time the past year. Tetris?,Frequently Used,Frequently Used,Moderately Used,Frequently Used,Rarely Used,Rarely Used,Frequently Used,"Game boy, game cube, old gen platforms",Frequently Used,Frequently Used,Frequently Used,Rarely Used,Rarely Used,Never Used,,No,,,,neutral,1647,
2017-10-19 08:05:29,2017-10-19 08:30:50,IP Address,129.63.17.4,100,1520,True,2017-10-19 08:30:50,R_XgEL28o8PIjOlJT,,,,,42.652297973633,-71.350601196289,anonymous,8,male,batchelor,24,"Bash Shell, windows OS, Mac OS, Android Device, Linux",expert,"fic_media,non_fic_media,chatbots,commercial_bots,made_bots,academic",,"Games at entertainment centers, malls",,"Line followers, obstacle avoidance using PIC micro-controller ",moderate,moderate,familiar,frequent,moderate,complete_unfamiliar,moderate,moderate,frequent,Touch screen laptop,Yes,3,Condition zero,Frequently Used,Frequently Used,Never Used,Frequently Used,Rarely Used,Never Used,Never Used,,Never Used,Frequently Used,Rarely Used,Moderately Used,Moderately Used,Never Used,,No,,,,somewhat,1520,
