User,Condition,crate_dispersed,patrol_a,square,divide,divide_color_1,divide_mix,crate,stop,remove,mark,patrol_screen,move_a,divide_color_2,split,merge,line,move_wall,disperse
1,X,position/move,select & area,draw square,drag,drag,drag,position/move,tap robot,,,drag around,drag robot,drag,rev pinch,pinch,draw,drag,group moves
2,1,,set waypoints,,,2h drag,,ui/waypoint,drag offscreen,ui remove,ui mark,patrol ui,drag robot,drag,cut/r pinch,,,drag,
3,10,ui/object/target,"select, ui, area","select, formation ui",2x select/move,2x select/move,"ui color select, tap",ui/waypoint,ui select,ui remove,ui mark,patrol ui,select/drag,2x select/tap,select/ui,select/ui,select/ui,select/drag,select/ui
4,100,position/move,border,draw square,2x select/move,2x select/move,no sort or move,position/move,drag robots back,ui remove,doubletap,select/drag around,select/tap,2x select/drag,select/r_pinch,select/tap,drag from robots,select/drag,5f scatter
5,1000,position/move,to & around,draw square,drag,drag,"no sort, move",position/move,drag back,drag corner,lasso,around screen,drag robot,drag,drag,drag,draw,drag,squiggle
6,X,tap/tap,select & border,draw square,drag,drag,drag,position/move,tap robot,,,select/drag around,drag robot,drag,rev pinch,pinch,select/draw,drag,5f scatter
7,1,,to & around,,,2h drag,,position/move,tap whitespace,"hold, ui remove",ui mark,around screen,drag robot,drag,cut/drag,,,drag,
8,10,position/move,to & around,single moves,single moves,single moves,single moves,position/move,doubletap each robot,drag offscreen,"draw ""X""",partial drag around,single moves,drag,single moves,single moves,single moves,drag,5f scatter
9,100,position/move,to & across,"voice, no interaction",2x select/move,2x select/move,color select and move,position/move,voice,"voice, move edge",move corner,voice,single moves,2x select/move,voice,select/move,voice,voice,voice
10,1000,position/move,to & across,draw square,multi sweep,drag,"no sort, move",position/move,rasied hand pull back,"fist circle, move edge","move fist in circle over, tap",sweep around screen,drag robot,drag,spread/sweep,sweep,voice/chop,sweep,opening fists
11,X,drag crate,border,"voice, draw square",drag,drag,drag,drag crate,tap robot,,,border,drag robot,drag,cut,pinch,voice,drag,5f scatter
12,1,,to & around,,,drag,,position/move,draw wall,drag offscreen,lasso,around screen,drag robot,drag,cut,,,drag,
13,10,position/move,select & path,"select, draw square",2x select/move,2x select/move,multi select and move,position/move,select/doubletap whitespace,drag corner,select/tap,select/drag around,select/drag,2x select/drag,2x select/drag,2x select/drag,select/draw,select/drag,select/5f scatter
14,100,position/move,to & around,4f spread,multiple drag,drag,"multiple drag, no sort",position/move,draw wall,other robots push offscreen,move away,around screen,drag robot,drag,draw two spirals ,sweep,drag from robots,drag,sweep
15,1000,drag crate,to & around,"voice, draw square in two parts",cut & drag,drag,"no sort, move",drag crate,move wall ,corner,lasso,multi drag partway around,drag robot,2x select/drag,cut,pinch,voice/draw,drag,group moves
16,X,drag crate,to & around,single moves,multiple drag,drag,drag,drag crate,drag back,,,around screen,drag robot,drag,cut,drag,drag,drag,group moves
17,1,,to & around,,,drag,,drag crate,tap robot,drag corner,tap,around screen,drag robot,drag,drag,,,drag,
18,10,drag crate,select & to A,single moves,2x select/move,2x select/move,multi select and move,position/move,draw wall,drag offscreen,select/ui,organize positions,select/drag,2x select/drag,cut,select/move,select/pinch,select/drag,4f scatter
19,100,ui/object/target,"select, ui, path","select, draw square","select, tap targets",2x select/move,color select and move,ui/select/move crate,doubletap whitespace,corner,move away,patrol ui,select/drag,2x select/tap,select/ui,select/tap,select/ui/draw,select/drag,select/5f scatter
20,1000,drag crate,border,draw square,cut & drag,drag,color select and move,drag crate,drag back,corner,tap,around screen,drag robot,drag,cut,pinch,drag from group,drag,group moves
21,X,drag crate,to & around,draw square,drag,drag,drag,drag crate,tap robot,,,border,drag robot,drag,spread/sweep,pinch,draw line,drag,ccw lasso
22,1,,no action,,,drag,,position/move,voice,drag offscreen,ui recolor,around screen,drag robot,drag,voice ,,,drag,
23,10,position/no move,select & around,single moves,single moves,single moves,single moves,position,voice,drag offscreen,draw spiral up away from screen,partial drag around,single moves,single moves,cut,multi pinch,single moves,single moves,no command
