user,condition,task,time,event,note
4,100,1,116.71,lasso,no contact
4,100,1,123.64,tap&hold,area A; didn't touch
4,100,1,139.01,tap (area A),
4,100,2,162.04,lasso,no cotact; multiple times
4,100,2,174.67,drag,no contact; multiple times
4,100,3,244.95,release finger, todo recode this
4,100,4,285.0,lasso (half); drag,
4,100,4,297.69,lasso (half); drag,
4,100,5,316.5,lasso, didn't cross
4,100,5,318.06,drag,
4,100,5,321.37,lasso,
4,100,5,322.53,drag,
4,100,6,347.1,lasso,
4,100,6,348.02,drag,
4,100,6,349.95,lasso,
4,100,6,352.82,drag,
4,100,7,370.34,tap(removing hair from screen),
4,100,7,407.0,lasso,
4,100,7,409.84,2f lasso,
4,100,7,421.2,5f lasso, no contact; demonstration
4,100,8,461.09,lasso,
4,100,8,465.77,rev finger pinch, one hand; index and middle
4,100,8,487.13,rev finger pinch;rev finger pinch;rev finger pinch, no contact; demo
4,100,8,489.32,rev finger pinch;rev finger pinch,no contact; demo
4,100,9,529.43,lasso,
4,100,9,530.34,tap&hold (center),
4,100,10,575.59,drag(line),
4,100,10,578.69,drag(line),
4,100,10,582.67,drag(line),
4,100,10,593.85,2f drag,multiple repeats as demo
4,100,11,663.0,lasso/square multiple times, no contact; demo
4,100,11,675.82,drag(square),
4,100,11,684.6,lasso/square multiple times, no contact; demo
4,100,12,717.66,drag(line);tap&hold (area A),
4,100,12,726.22,drag(line),
4,100,12,729.76,drag(follow),
4,100,13,756.98,drag(line),
4,100,13,760.11,drag(follow),
4,100,14,776.91,doubletap (robot),
4,100,15,816.13,doubletap (robot),
4,100,15,833.0,drag (to trash can),
4,100,15,860,context menu,
4,100,16,914.26,lasso,
4,100,16,917.47,drag(square),
4,100,17,968.92,drag(square over A),
4,100,17,972.6,drag(circle),
4,100,17,980.53,drag(square over A),
4,100,18,998.54,5f scatter,
4,100,18,1001.43,5f scatter,


