user,condition,task,time,event,note
2,1,1,96.7,drag,
2,1,2,129.85,drag,mentions "pseudo-joysticks"
2,1,3,164.96,flick,off-screen not starting from robot
2,1,4,189.60,2h drag,different paths
2,1,4,215.99,2h drag,different paths and careful about timing
2,1,5,250.01,2h drag,
2,1,6,276.03,doubletap; draw line(cut);2h drag (off robots),
2,1,7,322.25,mentions wapypoint tool,
2,1,7,326.75,drag "menu",
2,1,7,331.62,tap;tap,
2,1,7,336.54,tap,robot
2,1,8,395.5,menu,
2,1,8,365.76,tap;tap,menu;robot
2,1,9,408.87,doubletap,on robot
2,1,9,410.68,menu/property list for robot,
2,1,9,425.63,tap;tap,"disable";"confirm"
2,1,10,467.05,mentions waypoint menu,
2,1,10,473.07,drag;tap,menu;waypoint
2,1,10,490.55,tap;tap;tap;tap;tap&hold,setting waypoints
2,1,10,495.01,tap,robot
2,1,11,547.68,drag,
2,1,11,551.32,menu,
2,1,11,556.3,tap;tap;tap;tap,waypoints
2,1,11,567.68,tap,robot
